f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	pred	pred	SVM(minus)	SVM(plus)	Random Forest(minus)	Random Forest(plus)	kNN(minus)	kNN(plus)	SVM	Random Forest	kNN
-0.72	0.0771312	0.000823026	-0.795918	0.0822795	0.00139967	-0.814815	0.081267	0.00138357	-0.876033	0.0825782	0.00184815	-0.881657	0.0834607	0.0020099	-0.871111	0.0826405	0.00290604	-0.83737	0.0863388	0.00354347	-0.761773	0.0894755	0.00406584	-0.68254	0.0888077	0.00415565	~	?	0.980	0.020	0.948	0.052	1.000	0.000	minus	minus	minus
0	0.00507632	8.64556e-005	0	0.0173402	0.000790554	-0.0246914	0.0449087	0.00358138	-0.0743802	0.0638955	0.00583565	-0.0769231	0.0728096	0.00589021	-0.0844444	0.0783345	0.00679685	-0.0899654	0.0837287	0.00744513	-0.0858726	0.0814021	0.00749303	-0.0861678	0.0814618	0.00747907	~	?	0.975	0.025	0.989	0.011	1.000	0.000	minus	minus	minus
-1	0.0490308	0.000156866	-1	0.0413009	0.000411784	-0.962963	0.0399643	0.000729569	-0.933884	0.0382317	0.00070946	-0.87574	0.0421031	0.00130096	-0.808889	0.0440752	0.00164721	-0.775087	0.0483908	0.00206358	-0.756233	0.0535199	0.00251377	-0.748299	0.0597658	0.00261806	~	?	0.999	0.001	0.983	0.017	1.000	0.000	minus	minus	minus
-0.36	0.0967226	0.0013688	-0.428571	0.0829693	0.00206644	-0.506173	0.0943666	0.00251416	-0.53719	0.0866279	0.0022299	-0.538462	0.0805364	0.00221056	-0.564444	0.0773898	0.00222574	-0.584775	0.0752077	0.00230722	-0.562327	0.0735563	0.00226747	-0.537415	0.0725274	0.00217791	~	?	0.865	0.135	0.646	0.354	0.348	0.652	minus	minus	plus
-1	0.0818	0.00147244	-1	0.0863096	0.00129361	-1	0.0739758	0.00144244	-0.966942	0.0656014	0.00166629	-0.940828	0.0621265	0.00180572	-0.92	0.0617322	0.00183139	-0.83045	0.061765	0.00180935	-0.725762	0.060661	0.00176984	-0.634921	0.05952	0.00175584	~	?	0.007	0.993	0.387	0.613	0.003	0.997	plus	plus	plus
-1	0.0853748	0.00208828	-1	0.09877	0.0023816	-0.901235	0.0911173	0.00179819	-0.867769	0.0831074	0.00196811	-0.905325	0.0769998	0.00183644	-0.911111	0.0706901	0.00189035	-0.913495	0.0674533	0.00183517	-0.919668	0.0652351	0.00190956	-0.931973	0.0630873	0.001888	~	?	0.997	0.003	0.779	0.221	0.995	0.005	minus	minus	minus
-0.6	0.137452	0.00194818	-0.510204	0.107142	0.0031509	-0.469136	0.0938041	0.00316808	-0.446281	0.0856839	0.0028745	-0.431953	0.0785962	0.00264341	-0.444444	0.0763162	0.00255566	-0.463668	0.0768337	0.0026235	-0.468144	0.0761949	0.00266397	-0.464853	0.0745	0.00274002	~	?	0.164	0.836	0.412	0.588	0.240	0.760	plus	plus	plus
-0.92	0.0818919	0.00293702	-0.795918	0.0772723	0.00325906	-0.728395	0.0688345	0.00331542	-0.735537	0.0636936	0.00314935	-0.680473	0.059127	0.00291734	-0.662222	0.05631	0.00254714	-0.6609	0.0541637	0.00216839	-0.65097	0.0520694	0.00205977	-0.655329	0.0513389	0.00190865	~	?	0.009	0.991	0.654	0.346	0.010	0.990	plus	minus	plus
-0.28	0.104511	0.00185981	-0.102041	0.0928903	0.0023363	0.135802	0.0855747	0.00301097	0.22314	0.0793787	0.00248524	0.254438	0.0740471	0.00218772	0.28	0.0734717	0.00246424	0.266436	0.0731433	0.00241594	0.235457	0.0724098	0.00254212	0.23356	0.0749792	0.00292835	~	?	0.009	0.991	0.004	0.996	0.000	1.000	plus	plus	plus
0	0.0119306	0.000819705	0	0.0211323	0.00163062	-0.037037	0.020781	0.00135488	-0.0578512	0.022035	0.00150279	-0.0591716	0.0244992	0.00190128	-0.0533333	0.0242301	0.00195766	-0.0449827	0.0228567	0.00173347	-0.066482	0.0313285	0.00378609	-0.0884354	0.0432275	0.00778281	~	?	0.972	0.028	0.967	0.033	1.000	0.000	minus	minus	minus
0.04	0.0765785	0.00184964	0.0204082	0.0768088	0.00147028	0.0864198	0.0741421	0.00146385	0.173554	0.0688979	0.00127633	0.230769	0.0653584	0.00128678	0.244444	0.0658503	0.00152149	0.238754	0.0633091	0.00158179	0.213296	0.0636907	0.00156467	0.219955	0.0653147	0.00170242	~	?	0.017	0.983	0.012	0.988	0.000	1.000	plus	plus	plus
-1	0.100845	0.00229489	-0.836735	0.104356	0.00305728	-0.592593	0.093676	0.00246294	-0.479339	0.0777684	0.00290115	-0.467456	0.0742286	0.00276957	-0.48	0.0716912	0.00235382	-0.49481	0.0686225	0.00214867	-0.490305	0.0660645	0.00196132	-0.507937	0.0646018	0.00183192	~	?	0.005	0.995	0.170	0.830	0.000	1.000	plus	plus	plus
-0.44	0.0893155	0.00236248	-0.346939	0.0887791	0.00255779	-0.432099	0.099362	0.00296538	-0.338843	0.0962226	0.00319227	-0.289941	0.0850895	0.00331333	-0.293333	0.0824441	0.00312334	-0.318339	0.0781497	0.00296795	-0.34903	0.0735083	0.00283885	-0.365079	0.0720524	0.002682	~	?	0.000	1.000	0.134	0.866	0.000	1.000	plus	plus	plus
-0.92	0.125558	0.00224904	-0.714286	0.116977	0.00317291	-0.530864	0.0934265	0.00269576	-0.38843	0.0817159	0.00266101	-0.325444	0.0759249	0.00243014	-0.342222	0.0753096	0.00211164	-0.384083	0.0759671	0.00195336	-0.429363	0.0727377	0.00182961	-0.473923	0.0689232	0.00168153	~	?	0.010	0.990	0.135	0.865	0.000	1.000	plus	plus	plus
-0.28	0.05741	0.000899318	-0.183673	0.0675045	0.0017529	-0.135802	0.062391	0.00143454	-0.107438	0.0632022	0.00133571	-0.100592	0.0651185	0.00152468	-0.146667	0.0658272	0.00217366	-0.16263	0.0739909	0.00309205	-0.110803	0.0786389	0.00326693	-0.0566893	0.0786781	0.00366914	~	?	0.170	0.830	0.141	0.859	0.030	0.970	plus	plus	plus
-1	0.0732024	0.00124297	-1	0.064669	0.0010623	-1	0.0609699	0.000993145	-1	0.0577902	0.00101852	-1	0.0550564	0.0011156	-0.991111	0.0537603	0.00112397	-0.99308	0.0538525	0.0010603	-0.99446	0.0512167	0.000966899	-0.995465	0.0476852	0.000925109	~	?	0.046	0.954	0.080	0.920	0.000	1.000	plus	plus	plus
-1	0.0331844	0.000326891	-1	0.0384439	0.000499077	-1	0.0396888	0.000709465	-1	0.0456805	0.00105925	-1	0.0531338	0.00135088	-0.991111	0.0572764	0.00136527	-0.968858	0.0592166	0.00139728	-0.914127	0.0588558	0.00142029	-0.888889	0.057499	0.00139046	~	?	0.998	0.002	0.967	0.033	1.000	0.000	minus	minus	minus
-0.76	0.0875316	0.00270976	-0.673469	0.0938789	0.002743	-0.679012	0.0852394	0.0019032	-0.669421	0.0820219	0.00189546	-0.64497	0.0821505	0.00227242	-0.591111	0.085933	0.00258125	-0.515571	0.0878419	0.00344161	-0.481994	0.0879446	0.00380368	-0.473923	0.0899284	0.00411954	~	?	0.984	0.016	0.878	0.122	0.870	0.130	minus	minus	minus
-1	0.0586071	0.00167415	-1	0.05812	0.00130458	-0.876543	0.0744171	0.00199329	-0.752066	0.0825241	0.00235022	-0.621302	0.0834198	0.00211088	-0.533333	0.0814096	0.00194247	-0.50519	0.0830272	0.00238753	-0.462604	0.084239	0.00263075	-0.412698	0.0851084	0.0027466	~	?	0.000	1.000	0.323	0.677	0.000	1.000	plus	plus	plus
-0.92	0.089375	0.00142813	-0.816327	0.0828475	0.00136287	-0.728395	0.0747191	0.00120841	-0.677686	0.0682825	0.00132869	-0.639053	0.067458	0.00124816	-0.64	0.0749588	0.00139088	-0.650519	0.0817637	0.00200862	-0.65928	0.0851827	0.00214384	-0.648526	0.0843375	0.00205426	~	?	0.939	0.061	0.809	0.191	1.000	0.000	minus	minus	minus
-0.28	0.0646716	0.000714187	0.102041	0.0570257	0.000559633	0.308642	0.0453513	0.000705031	0.438017	0.0429573	0.000691188	0.526627	0.0386826	0.000660665	0.591111	0.0347454	0.000673086	0.640138	0.032435	0.000682497	0.67867	0.0316453	0.000695477	0.68254	0.0315749	0.000767288	~	?	0.046	0.954	0.009	0.991	0.000	1.000	plus	plus	plus
-0.2	0.0419526	0.000283481	0.0204082	0.0430475	0.000554714	0.0617284	0.0507618	0.000858264	0.0413223	0.0505507	0.000899445	0.0177515	0.0481506	0.000924398	0.00444444	0.0470286	0.000971338	-0.0242215	0.0467294	0.00094837	-0.0692521	0.0470422	0.000969725	-0.115646	0.047384	0.000954934	~	?	0.065	0.935	0.189	0.811	0.000	1.000	plus	plus	plus
-0.68	0.116215	0.00410574	-0.55102	0.117814	0.00420866	-0.518519	0.111243	0.00390553	-0.46281	0.105374	0.0038152	-0.420118	0.0968524	0.00322746	-0.368889	0.0868187	0.00290552	-0.346021	0.0807815	0.00270065	-0.282548	0.0757312	0.00253995	-0.244898	0.0719153	0.0025562	~	?	0.011	0.989	0.312	0.688	0.000	1.000	plus	plus	plus
-0.6	0.0784379	0.000940145	-0.265306	0.0806437	0.00174462	-0.0617284	0.0719609	0.00154931	0.0909091	0.0670254	0.00152833	0.0887574	0.0672083	0.00155952	0.04	0.0628813	0.00129285	0.0103806	0.0641462	0.00141529	0.0470914	0.0685346	0.00193687	0.0884354	0.0693532	0.00253612	~	?	0.011	0.989	0.009	0.991	0.000	1.000	plus	plus	plus
-0.92	0.133898	0.00303663	-0.755102	0.124261	0.0037407	-0.703704	0.117404	0.00413134	-0.628099	0.106226	0.00467044	-0.60355	0.0954726	0.0047174	-0.613333	0.0872699	0.00427305	-0.633218	0.0824699	0.00407661	-0.65374	0.0781879	0.00380551	-0.668934	0.0721047	0.00347606	~	?	0.014	0.986	0.282	0.718	0.000	1.000	plus	plus	plus
-0.6	0.121446	0.00516528	-0.510204	0.120611	0.004066	-0.506173	0.111663	0.00400242	-0.46281	0.106183	0.00339547	-0.390533	0.0962398	0.0032817	-0.342222	0.0866952	0.00306135	-0.245675	0.0779203	0.00279754	-0.199446	0.0731509	0.00263018	-0.163265	0.0695319	0.0024844	~	?	0.009	0.991	0.219	0.781	0.009	0.991	plus	plus	plus
-0.92	0.0950911	0.00155088	-0.714286	0.0907162	0.00138648	-0.530864	0.0811366	0.00159039	-0.487603	0.0806822	0.00156556	-0.455621	0.0714203	0.00130814	-0.413333	0.064156	0.00122158	-0.397924	0.0644062	0.00129663	-0.396122	0.0628875	0.00149984	-0.433107	0.0618917	0.00137382	~	?	0.023	0.977	0.199	0.801	0.000	1.000	plus	plus	plus
-0.84	0.120903	0.00230686	-0.632653	0.0957495	0.00324718	-0.666667	0.0777176	0.00304543	-0.628099	0.0676834	0.00286914	-0.579882	0.0644759	0.00285949	-0.542222	0.0627443	0.00279027	-0.560554	0.0620598	0.00275937	-0.565097	0.0635757	0.00279979	-0.564626	0.0675594	0.00309436	~	?	0.975	0.025	0.622	0.378	0.939	0.061	minus	minus	minus
0.28	0.0852022	0.00344506	0.265306	0.0871878	0.00485835	0.333333	0.0842681	0.00487635	0.322314	0.0811875	0.00470538	0.278107	0.0763403	0.00412745	0.262222	0.070542	0.00368049	0.259516	0.0677771	0.00335732	0.246537	0.0661499	0.00313467	0.210884	0.066288	0.00297157	~	?	0.022	0.978	0.007	0.993	0.000	1.000	plus	plus	plus
-0.8	0.033973	8.46918e-005	-0.77551	0.036337	0.000285801	-0.777778	0.0404927	0.000589187	-0.793388	0.042075	0.000743204	-0.798817	0.0442682	0.000786549	-0.8	0.0447839	0.000892316	-0.799308	0.0439706	0.000860166	-0.806094	0.0421531	0.000804817	-0.818594	0.0415617	0.000869925	~	?	0.999	0.001	0.948	0.052	1.000	0.000	minus	minus	minus
-1	0.0815459	0.000656831	-0.918367	0.068158	0.000502049	-0.839506	0.0609967	0.000812518	-0.818182	0.0653193	0.000958173	-0.810651	0.0676757	0.00107161	-0.768889	0.0666346	0.00138048	-0.733564	0.0659321	0.00135024	-0.65097	0.0653352	0.00138714	-0.571429	0.0649381	0.00152004	~	?	0.473	0.527	0.739	0.261	0.029	0.971	plus	minus	plus
-0.44	0.135684	0.00435308	-0.0612245	0.121033	0.00540569	0.135802	0.106107	0.00525091	0.256198	0.0907502	0.0048863	0.360947	0.0810236	0.00442731	0.351111	0.0741072	0.00394152	0.342561	0.0686221	0.00369408	0.362881	0.0652729	0.00350554	0.39229	0.0629071	0.00319356	~	?	0.041	0.959	0.020	0.980	0.000	1.000	plus	plus	plus
-0.16	0.0592943	0.000459449	-0.428571	0.0869095	0.00140686	-0.54321	0.102712	0.0021455	-0.578512	0.0972553	0.00207894	-0.597633	0.0854543	0.00202638	-0.631111	0.0785608	0.00188469	-0.66782	0.0736105	0.00172972	-0.695291	0.0708784	0.00158048	-0.721088	0.0696612	0.0014887	~	?	0.956	0.044	0.885	0.115	0.762	0.238	minus	minus	minus
-1	0.0442444	0.000590771	-1	0.0504759	0.000814894	-1	0.0539129	0.000985524	-1	0.0548042	0.00114578	-1	0.0542606	0.00127672	-1	0.0543502	0.00128261	-0.99308	0.0553241	0.00133299	-0.980609	0.0566654	0.00137669	-0.947846	0.0565327	0.0013512	~	?	0.964	0.036	0.773	0.227	1.000	0.000	minus	minus	minus
-1	0.0315662	0.000189388	-0.877551	0.0345633	0.000249197	-0.740741	0.0384922	0.000318657	-0.652893	0.0392969	0.000315802	-0.597633	0.0398071	0.000417387	-0.537778	0.0411523	0.00064048	-0.512111	0.0470645	0.00109397	-0.506925	0.0518333	0.00160798	-0.53288	0.0560696	0.00210212	~	?	0.948	0.052	0.902	0.098	0.923	0.077	minus	minus	minus
-0.6	0.109175	0.00263565	-0.55102	0.0943333	0.00345782	-0.580247	0.0895587	0.00359997	-0.520661	0.0832192	0.00356668	-0.514793	0.0753845	0.00354441	-0.484444	0.0687921	0.00335297	-0.460208	0.0636679	0.0033013	-0.454294	0.0615781	0.00315527	-0.471655	0.061827	0.00308455	~	?	0.073	0.927	0.494	0.506	0.064	0.936	plus	minus	plus
-0.8	0.0311827	0.00012102	-0.795918	0.0350698	0.000654382	-0.814815	0.0447389	0.00214574	-0.809917	0.0510894	0.00229877	-0.763314	0.0533582	0.0025471	-0.733333	0.0541997	0.00290392	-0.688581	0.0540233	0.00294973	-0.65374	0.0532883	0.00267277	-0.612245	0.0552973	0.00263299	~	?	1.000	0.000	0.974	0.026	1.000	0.000	minus	minus	minus
-0.52	0.0847663	0.00164997	-0.22449	0.0793886	0.0015019	0.037037	0.067962	0.00150134	0.157025	0.0629246	0.00168669	0.100592	0.0605763	0.00195284	0.00444444	0.0586283	0.00171867	-0.0588235	0.0594324	0.00174365	-0.0692521	0.0583585	0.00172465	-0.0657596	0.0576978	0.00168471	~	?	0.049	0.951	0.033	0.967	0.000	1.000	plus	plus	plus
-0.12	0.0605106	0.00124238	-0.367347	0.0810204	0.00292906	-0.481481	0.086389	0.00330988	-0.487603	0.0810057	0.00314067	-0.467456	0.0741787	0.00319596	-0.471111	0.0694178	0.00301989	-0.49481	0.0667228	0.00280676	-0.518006	0.0645734	0.00265924	-0.498866	0.0630817	0.0025485	~	?	0.912	0.088	0.503	0.497	0.638	0.362	minus	minus	minus
-1	0.0656551	0.000705905	-0.959184	0.064407	0.000811541	-0.925926	0.0630335	0.000977529	-0.900826	0.061633	0.00108183	-0.869823	0.0656527	0.00129986	-0.768889	0.0675997	0.00154647	-0.695502	0.065893	0.00148818	-0.66482	0.0627722	0.00126877	-0.628118	0.0601799	0.00121241	~	?	0.488	0.512	0.519	0.481	0.183	0.817	plus	minus	plus
-0.6	0.0921143	0.00163586	-0.22449	0.0814734	0.00141155	-0.0617284	0.0699617	0.0016901	0.0743802	0.0666081	0.00164202	0.207101	0.0622158	0.00135016	0.217778	0.0607997	0.00134952	0.197232	0.062739	0.00144626	0.168975	0.0630224	0.00189344	0.113379	0.0703774	0.00272296	~	?	0.065	0.935	0.005	0.995	0.000	1.000	plus	plus	plus
-0.84	0.104423	0.00240437	-0.795918	0.0980563	0.00303897	-0.814815	0.104806	0.00273929	-0.826446	0.09241	0.00331591	-0.822485	0.095657	0.00333461	-0.84	0.0947856	0.00361786	-0.761246	0.089427	0.00337348	-0.689751	0.0821644	0.00324077	-0.632653	0.0756601	0.00310832	~	?	0.998	0.002	0.755	0.245	1.000	0.000	minus	minus	minus
-0.12	0.124364	0.00388096	0.0612245	0.110397	0.00487579	0.185185	0.0975167	0.00478326	0.289256	0.0861743	0.00453588	0.372781	0.0799374	0.00410301	0.404444	0.075798	0.00395873	0.411765	0.0756666	0.00406502	0.412742	0.0746775	0.00434471	0.414966	0.072093	0.0043566	~	?	0.023	0.977	0.021	0.979	0.000	1.000	plus	plus	plus
-0.04	0.115043	0.00489145	0.102041	0.105434	0.00503168	0.234568	0.0973921	0.00536148	0.322314	0.0880277	0.00486669	0.301775	0.0791747	0.00418854	0.297778	0.0732649	0.00386849	0.301038	0.0679811	0.00346865	0.313019	0.0640926	0.00318173	0.278912	0.0649718	0.0030652	~	?	0.015	0.985	0.030	0.970	0.000	1.000	plus	plus	plus
-1	0.0682894	0.00204709	-0.877551	0.0764794	0.00199779	-0.728395	0.0746806	0.00165878	-0.628099	0.0658484	0.0013966	-0.662722	0.0664059	0.00142318	-0.737778	0.0743364	0.00177298	-0.768166	0.0757596	0.00181333	-0.764543	0.073687	0.00153495	-0.734694	0.0702351	0.00146154	~	?	0.999	0.001	0.824	0.176	1.000	0.000	minus	minus	minus
-0.2	0.095262	0.00220297	-0.183673	0.0954094	0.00207667	-0.0864198	0.0922618	0.0023463	-0.0247934	0.0829312	0.00249437	0.0295858	0.0789041	0.00221969	0.0577778	0.0721842	0.00221887	0.0934256	0.0667917	0.00181587	0.108033	0.0685603	0.00220496	0.106576	0.0669459	0.00217177	~	?	0.006	0.994	0.021	0.979	0.000	1.000	plus	plus	plus
-1	0.0737424	0.00242259	-0.959184	0.0739588	0.0031042	-0.703704	0.0746399	0.00221287	-0.53719	0.0724444	0.00206036	-0.431953	0.0705405	0.0020603	-0.404444	0.0691934	0.00240966	-0.391003	0.0678436	0.00213014	-0.368421	0.0674033	0.00226034	-0.342404	0.066751	0.00233364	~	?	0.815	0.185	0.223	0.777	0.992	0.008	minus	plus	minus
-0.08	0.205949	0.0111369	0.0408163	0.144375	0.0136554	0.111111	0.127762	0.0130257	0.14876	0.110998	0.0123278	0.177515	0.0952179	0.0115201	0.191111	0.0875718	0.0105007	0.211073	0.0807841	0.0097154	0.191136	0.0842044	0.0113865	0.176871	0.0824442	0.0110979	~	?	0.937	0.063	0.872	0.128	1.000	0.000	minus	minus	minus
-1	0.108331	0.0014239	-0.673469	0.0961111	0.00219178	-0.469136	0.0842505	0.00244766	-0.347107	0.0748727	0.00233501	-0.260355	0.0684047	0.00221609	-0.222222	0.0648352	0.00203337	-0.204152	0.0632832	0.00187991	-0.218837	0.0627885	0.00174894	-0.247166	0.0653824	0.0018929	~	?	0.100	0.900	0.159	0.841	0.000	1.000	plus	plus	plus
-0.36	0.0641868	0.000922308	-0.55102	0.0710152	0.00105979	-0.666667	0.0787445	0.0019152	-0.727273	0.0832716	0.0020998	-0.733728	0.0758937	0.00169663	-0.711111	0.0678056	0.00158607	-0.705882	0.0635795	0.00155228	-0.714681	0.0612968	0.0015241	-0.675737	0.0612241	0.00166352	~	?	0.998	0.002	0.797	0.203	1.000	0.000	minus	minus	minus
-1	0.0726775	0.00105192	-0.755102	0.071169	0.00116568	-0.530864	0.0650305	0.00109621	-0.371901	0.0604078	0.000931823	-0.301775	0.0585855	0.000914446	-0.271111	0.0560956	0.00086926	-0.294118	0.0519862	0.000847642	-0.313019	0.0488035	0.000882092	-0.301587	0.0466221	0.000869624	~	?	0.031	0.969	0.041	0.959	0.000	1.000	plus	plus	plus
-1	0.0977576	0.00170928	-0.836735	0.0937039	0.00249056	-0.654321	0.0877481	0.0029598	-0.553719	0.0778518	0.00318095	-0.538462	0.0711325	0.00322489	-0.52	0.0655999	0.00318806	-0.474048	0.0624517	0.00307204	-0.434903	0.05996	0.00294963	-0.426304	0.0577235	0.00286192	~	?	0.005	0.995	0.264	0.736	0.106	0.894	plus	plus	plus
-1	0.0411435	0.00042207	-0.979592	0.0451823	0.000580448	-0.962963	0.0499798	0.000976231	-0.975207	0.05822	0.0013763	-0.911243	0.0597931	0.00169694	-0.857778	0.0640762	0.0020826	-0.802768	0.073006	0.00350697	-0.747922	0.0784293	0.00372718	-0.712018	0.0764669	0.00312401	~	?	1.000	0.000	0.957	0.043	1.000	0.000	minus	minus	minus
-1	0.0817033	0.00132278	-1	0.0767438	0.00147967	-0.950617	0.0770498	0.00229231	-0.801653	0.0727143	0.0026467	-0.680473	0.0668092	0.00280603	-0.591111	0.0630357	0.0027866	-0.529412	0.0601738	0.0026204	-0.468144	0.0578847	0.00259467	-0.437642	0.0570755	0.00258142	~	?	0.024	0.976	0.328	0.672	0.000	1.000	plus	plus	plus
-0.6	0.0707833	0.000931459	-0.22449	0.0683102	0.00106175	-0.0864198	0.0815061	0.00243253	0.0247934	0.0878744	0.00536599	0.130178	0.0851427	0.00523952	0.195556	0.0798513	0.00480349	0.238754	0.0779511	0.0045843	0.263158	0.0745407	0.00452562	0.319728	0.0717491	0.00410628	~	?	0.052	0.948	0.080	0.920	0.000	1.000	plus	plus	plus
-1	0.0728651	0.000637347	-1	0.0681138	0.000591655	-1	0.0585349	0.000576504	-1	0.0511127	0.000523305	-0.994083	0.0485486	0.000516002	-0.986667	0.0449182	0.000505379	-0.986159	0.0475019	0.000675597	-0.983379	0.0512176	0.000971025	-0.963719	0.0512077	0.000905015	~	?	0.962	0.038	0.936	0.064	0.274	0.726	minus	minus	plus
-0.92	0.0982181	0.00385508	-0.755102	0.107225	0.00296298	-0.666667	0.0968431	0.00271439	-0.570248	0.0848208	0.00303133	-0.491124	0.0804935	0.00288895	-0.44	0.0749432	0.00261455	-0.411765	0.0700661	0.00231053	-0.390582	0.0665952	0.00217	-0.385488	0.0635427	0.00205291	~	?	0.028	0.972	0.251	0.749	0.401	0.599	plus	plus	plus
-0.88	0.0529533	0.00135586	-0.897959	0.0704006	0.00282479	-0.888889	0.079032	0.00392536	-0.710744	0.0783362	0.00330296	-0.532544	0.06871	0.00265526	-0.431111	0.0639709	0.00265331	-0.387543	0.0633944	0.00276372	-0.351801	0.0600555	0.00263891	-0.306122	0.0598529	0.00250112	~	?	0.551	0.449	0.549	0.451	0.229	0.771	minus	minus	plus
0.12	0.0666367	0.00148825	0.0204082	0.0720612	0.00150474	-0.037037	0.0752341	0.00136874	-0.0909091	0.0706058	0.00139415	-0.147929	0.0660188	0.00134558	-0.2	0.059467	0.00126717	-0.252595	0.0527521	0.00117332	-0.285319	0.0476922	0.00109533	-0.292517	0.0462098	0.000996851	~	?	0.042	0.958	0.116	0.884	0.000	1.000	plus	plus	plus
-1	0.0363776	0.00040374	-1	0.0492769	0.000764769	-0.901235	0.0590417	0.000931848	-0.752066	0.0619863	0.000948689	-0.609467	0.0626908	0.00115417	-0.528889	0.0638372	0.00150209	-0.550173	0.0644138	0.00144042	-0.573407	0.0649406	0.00158109	-0.591837	0.0675941	0.00175663	~	?	0.031	0.969	0.671	0.329	0.000	1.000	plus	minus	plus
-0.92	0.099074	0.000854029	-0.77551	0.0751722	0.00145023	-0.765432	0.0705805	0.00158701	-0.77686	0.0799364	0.00176838	-0.769231	0.081819	0.0018541	-0.755556	0.0759884	0.00155366	-0.733564	0.0709134	0.00141375	-0.703601	0.0665308	0.00148239	-0.675737	0.0635692	0.00150348	~	?	0.993	0.007	0.798	0.202	1.000	0.000	minus	minus	minus
