@relation 'training-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.rules.ZeroR-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute aa numeric
@attribute bb {1,-1}

@data
0.2,0.103431,0.004472,0.020408,0.094755,0.004009,0.012346,0.08827,0.003868,0.008264,0.085119,0.003576,0.005917,0.079481,0.003315,0.04,0.071916,0.003081,0.065744,0.067405,0.002861,0.085873,0.06402,0.002743,0.086168,0.06047,0.002605,1
0.2,0.108551,0.002971,-0.102041,0.097238,0.00285,-0.234568,0.096559,0.002586,-0.256198,0.095616,0.002788,-0.289941,0.093388,0.002867,-0.244444,0.098969,0.003327,-0.16955,0.099997,0.003916,-0.069252,0.097477,0.003938,0.002268,0.093343,0.00374,1
-0.76,0.107634,0.001619,-0.387755,0.101784,0.001171,-0.209877,0.078286,0.001548,-0.157025,0.069509,0.001754,-0.207101,0.068412,0.001805,-0.271111,0.065946,0.001923,-0.294118,0.062083,0.001788,-0.285319,0.061026,0.001694,-0.306122,0.060636,0.001711,1
-0.28,0.058965,0.000792,-0.408163,0.071239,0.001968,-0.469136,0.077462,0.001979,-0.512397,0.068856,0.00156,-0.556213,0.071609,0.001306,-0.604444,0.081313,0.001887,-0.605536,0.086005,0.002319,-0.603878,0.082632,0.002102,-0.591837,0.086055,0.002823,-1
-0.84,0.102728,0.004649,-0.673469,0.098064,0.004111,-0.518519,0.095408,0.004025,-0.438017,0.08819,0.004032,-0.390533,0.079422,0.004006,-0.333333,0.074666,0.003846,-0.287197,0.073039,0.003821,-0.235457,0.071132,0.003727,-0.190476,0.067166,0.003602,-1
-0.6,0.107801,0.003201,-0.469388,0.098007,0.002935,-0.382716,0.094759,0.003048,-0.421488,0.085809,0.00296,-0.408284,0.090127,0.003163,-0.377778,0.092192,0.003261,-0.33564,0.086907,0.002887,-0.351801,0.087329,0.003231,-0.337868,0.088533,0.003823,1
-1,0.046182,0.000752,-1,0.069886,0.004218,-0.82716,0.075809,0.005425,-0.735537,0.06425,0.003398,-0.715976,0.064361,0.003597,-0.715556,0.065255,0.004297,-0.716263,0.061426,0.00376,-0.725762,0.059204,0.003472,-0.743764,0.057126,0.00319,1
-0.2,0.087951,0.002175,0.020408,0.084726,0.001509,0.234568,0.071851,0.001672,0.355372,0.065742,0.00213,0.337278,0.064375,0.002216,0.306667,0.06029,0.002216,0.321799,0.060607,0.001989,0.34072,0.059288,0.001916,0.351474,0.058078,0.001894,1
-0.48,0.125498,0.001218,-0.285714,0.101435,0.002166,-0.17284,0.083021,0.002625,-0.123967,0.074663,0.003189,-0.142012,0.07089,0.003112,-0.168889,0.06738,0.00291,-0.207612,0.06739,0.002794,-0.218837,0.067852,0.002733,-0.217687,0.065928,0.002649,-1
-0.76,0.032042,0.000269,-0.795918,0.053534,0.002489,-0.839506,0.066276,0.003795,-0.768595,0.07018,0.00359,-0.727811,0.069437,0.003109,-0.688889,0.06527,0.002668,-0.633218,0.064398,0.00239,-0.601108,0.064986,0.002532,-0.580499,0.06427,0.002424,-1
-0.72,0.05373,0.000402,-0.857143,0.054827,0.000829,-0.91358,0.063025,0.002139,-0.92562,0.067477,0.002563,-0.911243,0.066369,0.002017,-0.893333,0.063028,0.001717,-0.871972,0.060689,0.001533,-0.825485,0.06024,0.001488,-0.76644,0.060562,0.001397,-1
0.2,0.048601,0.001162,0.183673,0.043564,0.001004,0.358025,0.048128,0.001461,0.471074,0.043414,0.001222,0.550296,0.038798,0.001012,0.6,0.035954,0.000889,0.633218,0.032805,0.000818,0.66205,0.030205,0.00075,0.687075,0.028718,0.000682,1
-0.2,0.06077,0.001377,-0.306122,0.070111,0.002421,-0.419753,0.070768,0.002492,-0.504132,0.066432,0.002006,-0.538462,0.062662,0.00186,-0.564444,0.058947,0.00196,-0.598616,0.057688,0.002047,-0.581717,0.057501,0.002253,-0.537415,0.057198,0.00218,-1
-0.36,0.065767,0.000641,-0.469388,0.067052,0.001131,-0.555556,0.07301,0.002377,-0.603306,0.079623,0.003706,-0.544379,0.074603,0.003054,-0.484444,0.06721,0.002676,-0.446367,0.064899,0.002401,-0.407202,0.063034,0.00219,-0.380952,0.060363,0.002174,-1
-0.72,0.196359,0.009993,-0.591837,0.172448,0.012078,-0.506173,0.167111,0.013268,-0.347107,0.144775,0.012187,-0.236686,0.125727,0.011165,-0.177778,0.113658,0.010055,-0.124567,0.104265,0.008879,-0.058172,0.099062,0.007874,0.002268,0.092012,0.007113,-1
-0.28,0.083426,0.002737,-0.061224,0.098892,0.003996,0.135802,0.092839,0.003119,0.239669,0.080499,0.00272,0.313609,0.074562,0.002346,0.315556,0.07059,0.001976,0.280277,0.068124,0.002141,0.224377,0.066927,0.002087,0.174603,0.064317,0.00209,1
-0.2,0.07528,0.001041,-0.061224,0.07819,0.001361,0.111111,0.077144,0.001598,0.206612,0.070545,0.001609,0.289941,0.068452,0.001694,0.297778,0.06883,0.001959,0.307958,0.070771,0.002488,0.301939,0.071649,0.002625,0.290249,0.071019,0.002527,1
-0.96,0.100934,0.001611,-0.938776,0.097354,0.002296,-0.925926,0.090283,0.002259,-0.92562,0.08168,0.002308,-0.911243,0.07497,0.00219,-0.893333,0.067829,0.002099,-0.875433,0.061261,0.002043,-0.867036,0.056792,0.001965,-0.863946,0.052894,0.001913,-1
-0.28,0.031571,0.000208,-0.408163,0.041035,0.000599,-0.54321,0.054497,0.001101,-0.603306,0.064519,0.002467,-0.668639,0.070265,0.002501,-0.684444,0.072818,0.002322,-0.685121,0.075309,0.002495,-0.67036,0.074813,0.002279,-0.675737,0.072884,0.002149,-1
0.44,0.066484,0.001397,0.102041,0.076591,0.001613,-0.08642,0.075184,0.001491,-0.173554,0.070744,0.001382,-0.230769,0.064607,0.001353,-0.262222,0.05712,0.001304,-0.301038,0.050963,0.001216,-0.3241,0.048427,0.001099,-0.306122,0.047188,0.000974,1
-0.08,0.023431,0.000142,-0.081633,0.032097,0.000231,-0.098765,0.034202,0.000314,-0.132231,0.034452,0.000359,-0.183432,0.038061,0.000653,-0.271111,0.045878,0.000991,-0.366782,0.052966,0.001448,-0.423823,0.056285,0.001789,-0.460317,0.057869,0.001808,-1
-1,0.047104,0.000687,-1,0.071041,0.002818,-0.777778,0.08484,0.005517,-0.636364,0.071695,0.003815,-0.573964,0.067037,0.003676,-0.591111,0.069812,0.004375,-0.612457,0.066996,0.004142,-0.617729,0.065853,0.003776,-0.62585,0.064039,0.003504,1
-1,0.105523,0.002652,-0.877551,0.090382,0.00252,-0.82716,0.079071,0.002023,-0.768595,0.073084,0.002239,-0.727811,0.069188,0.002044,-0.702222,0.063109,0.001773,-0.688581,0.063245,0.001556,-0.695291,0.064096,0.001595,-0.702948,0.064451,0.001599,-1
-0.6,0.062043,0.000577,-0.306122,0.066495,0.000994,-0.111111,0.082678,0.002507,0.024793,0.086641,0.004839,0.153846,0.082532,0.00476,0.195556,0.078905,0.004453,0.211073,0.079324,0.004857,0.257618,0.078092,0.004687,0.306122,0.073287,0.004192,1
0.36,0.076995,0.002346,0.346939,0.077299,0.002568,0.358025,0.076556,0.002463,0.38843,0.073324,0.002467,0.408284,0.069683,0.002415,0.413333,0.066338,0.002497,0.418685,0.064586,0.00265,0.407202,0.065908,0.003094,0.408163,0.066628,0.003304,1
-0.6,0.064358,0.000861,-0.693878,0.056497,0.000717,-0.728395,0.059255,0.001135,-0.752066,0.067046,0.001294,-0.786982,0.070513,0.0012,-0.795556,0.072264,0.001278,-0.809689,0.071544,0.001338,-0.825485,0.069205,0.001667,-0.827664,0.068089,0.001737,-1
-1,0.082722,0.001101,-0.836735,0.071137,0.001166,-0.728395,0.059732,0.001476,-0.68595,0.052066,0.001504,-0.692308,0.052631,0.001379,-0.733333,0.054684,0.00145,-0.761246,0.057157,0.001529,-0.772853,0.059547,0.001422,-0.782313,0.060998,0.00152,-1
-0.84,0.082524,0.001583,-0.77551,0.079048,0.001368,-0.765432,0.076547,0.002157,-0.760331,0.072028,0.002366,-0.739645,0.068172,0.002278,-0.733333,0.064339,0.002455,-0.688581,0.061532,0.002281,-0.65651,0.057235,0.002061,-0.62585,0.055648,0.002137,-1
-0.2,0.13229,0.006569,-0.387755,0.108792,0.004903,-0.382716,0.094891,0.004077,-0.46281,0.085012,0.003688,-0.538462,0.078221,0.003563,-0.582222,0.075434,0.003397,-0.615917,0.075829,0.003239,-0.637119,0.076433,0.003067,-0.634921,0.076821,0.002766,-1
-0.68,0.117548,0.002192,-0.632653,0.107571,0.001592,-0.604938,0.091914,0.002214,-0.603306,0.08906,0.002092,-0.64497,0.08678,0.002121,-0.644444,0.082783,0.002103,-0.605536,0.083746,0.002346,-0.570637,0.084944,0.002695,-0.546485,0.086626,0.00287,1
0,0.032551,0.000355,-0.061224,0.033001,0.000329,-0.123457,0.031131,0.000343,-0.157025,0.03143,0.000464,-0.213018,0.03422,0.000618,-0.257778,0.036301,0.000794,-0.287197,0.040204,0.001033,-0.299169,0.043105,0.001263,-0.301587,0.044106,0.001485,-1
0.36,0.044947,0.001071,0.306122,0.035416,0.00067,0.333333,0.033911,0.000669,0.438017,0.037323,0.001014,0.526627,0.036542,0.000838,0.591111,0.033558,0.000734,0.640138,0.03296,0.00069,0.684211,0.032078,0.000651,0.714286,0.030463,0.000678,1
-0.92,0.104375,0.003278,-0.877551,0.128967,0.002648,-0.728395,0.125046,0.002647,-0.61157,0.110474,0.002951,-0.508876,0.099773,0.003045,-0.417778,0.093341,0.00314,-0.352941,0.087562,0.003212,-0.3241,0.082323,0.003322,-0.30839,0.081941,0.003497,-1
-0.68,0.118427,0.005668,-0.591837,0.098176,0.002887,-0.62963,0.092418,0.003787,-0.652893,0.089283,0.00514,-0.64497,0.078379,0.004501,-0.64,0.073115,0.004008,-0.66436,0.069361,0.003627,-0.711911,0.065614,0.00346,-0.746032,0.063838,0.003337,1
-0.04,0.049501,0.000922,-0.387755,0.054503,0.000735,-0.555556,0.053223,0.00067,-0.652893,0.050494,0.000794,-0.727811,0.052638,0.000856,-0.755556,0.059433,0.001559,-0.730104,0.062727,0.001753,-0.703601,0.063855,0.001594,-0.687075,0.065789,0.001662,1
-1,0.047738,0.001082,-1,0.036105,0.000678,-1,0.058353,0.002974,-0.818182,0.070913,0.005413,-0.692308,0.060014,0.00363,-0.671111,0.060493,0.003698,-0.688581,0.064753,0.004332,-0.700831,0.061153,0.003779,-0.698413,0.059758,0.003424,1
-1,0.080617,0.001783,-1,0.066496,0.001735,-0.975309,0.06669,0.001721,-0.950413,0.069022,0.001527,-0.869822,0.067658,0.001546,-0.795556,0.06359,0.001771,-0.782007,0.06164,0.001785,-0.770083,0.060146,0.00177,-0.730159,0.060012,0.001768,1
-0.84,0.125938,0.002395,-0.755102,0.12994,0.00216,-0.703704,0.124911,0.002605,-0.578512,0.111479,0.002978,-0.544379,0.102938,0.003152,-0.577778,0.097003,0.003284,-0.584775,0.090449,0.003266,-0.551247,0.087133,0.003156,-0.501134,0.08377,0.003102,-1
-0.6,0.060835,0.000699,-0.734694,0.069303,0.001142,-0.790123,0.074535,0.002599,-0.785124,0.07435,0.002345,-0.763314,0.068897,0.002468,-0.768889,0.066388,0.002556,-0.750865,0.067847,0.002702,-0.731302,0.071595,0.002954,-0.723356,0.074769,0.003241,-1
-1,0.052997,0.001148,-0.938776,0.045405,0.000711,-0.888889,0.046417,0.000654,-0.85124,0.04739,0.000675,-0.846154,0.054329,0.001172,-0.84,0.061898,0.001769,-0.740484,0.062976,0.001785,-0.66482,0.061521,0.001635,-0.623583,0.061335,0.001649,-1
-0.36,0.093706,0.001957,-0.530612,0.093827,0.002637,-0.617284,0.099028,0.002225,-0.644628,0.09967,0.002468,-0.615385,0.102611,0.003064,-0.568889,0.100971,0.003898,-0.525952,0.094633,0.003477,-0.509695,0.091666,0.00327,-0.498866,0.089211,0.003562,-1
-1,0.063721,0.000703,-1,0.063223,0.001138,-1,0.066305,0.001899,-1,0.06342,0.002067,-0.964497,0.060814,0.002109,-0.902222,0.060109,0.002121,-0.792388,0.062306,0.002137,-0.639889,0.062137,0.00215,-0.539683,0.061578,0.00226,1
-0.44,0.047615,0.000733,-0.265306,0.039097,0.000714,-0.160494,0.041293,0.00078,-0.123967,0.046005,0.001056,-0.112426,0.05036,0.001278,-0.048889,0.051468,0.001357,-0.024221,0.054086,0.001484,-0.024931,0.055296,0.001538,-0.06576,0.057325,0.001831,1
-0.2,0.080582,0.002119,-0.306122,0.070245,0.001602,-0.407407,0.075266,0.001544,-0.421488,0.078689,0.002336,-0.372781,0.079341,0.002535,-0.271111,0.072475,0.002328,-0.259516,0.071022,0.002319,-0.290859,0.06931,0.00241,-0.342404,0.067248,0.002479,1
0.52,0.043887,0.000713,0.346939,0.036709,0.00056,0.333333,0.034801,0.000539,0.438017,0.037892,0.000831,0.526627,0.036626,0.000838,0.573333,0.036565,0.000955,0.591696,0.037771,0.001019,0.590028,0.036721,0.000997,0.591837,0.036441,0.00106,1
-0.32,0.131245,0.008279,-0.367347,0.104154,0.00662,-0.407407,0.089862,0.005001,-0.429752,0.078,0.00444,-0.443787,0.071199,0.004075,-0.453333,0.066742,0.003683,-0.460208,0.062783,0.003367,-0.468144,0.060642,0.003067,-0.473923,0.058813,0.002874,-1
-1,0.087042,0.002217,-0.938776,0.078267,0.002383,-0.91358,0.0805,0.002134,-0.900826,0.088272,0.002429,-0.863905,0.08737,0.002221,-0.8,0.083132,0.002353,-0.750865,0.07753,0.002611,-0.711911,0.073796,0.002513,-0.662132,0.073798,0.003019,-1
-0.8,0.079674,0.003291,-0.755102,0.082493,0.003056,-0.716049,0.066123,0.002127,-0.702479,0.067278,0.002117,-0.727811,0.072801,0.002802,-0.742222,0.072702,0.002818,-0.743945,0.070909,0.002856,-0.734072,0.07033,0.002716,-0.723356,0.070375,0.002699,-1
-0.52,0.09659,0.001564,-0.265306,0.090949,0.001597,0.012346,0.081786,0.001393,0.190083,0.072981,0.001662,0.218935,0.071492,0.002069,0.235556,0.07196,0.002631,0.252595,0.071012,0.002699,0.243767,0.070532,0.002571,0.213152,0.071972,0.002666,1
-0.76,0.118326,0.006857,-0.571429,0.099387,0.006438,-0.407407,0.090527,0.005889,-0.330579,0.082788,0.005644,-0.284024,0.07956,0.005234,-0.235556,0.077072,0.004899,-0.204152,0.072982,0.004544,-0.180055,0.068958,0.004164,-0.151927,0.064616,0.003806,-1
-0.76,0.136499,0.00713,-0.591837,0.116303,0.007156,-0.432099,0.107475,0.007232,-0.322314,0.10029,0.006913,-0.230769,0.092823,0.006503,-0.168889,0.090588,0.006462,-0.107266,0.085711,0.00628,-0.041551,0.080488,0.005857,0.011338,0.074144,0.005532,1
-0.2,0.067627,0.000687,-0.102041,0.067424,0.001504,-0.037037,0.062327,0.001364,-0.041322,0.058683,0.001557,-0.088757,0.05912,0.001407,-0.093333,0.058296,0.001403,-0.086505,0.056691,0.001341,-0.085873,0.055214,0.001392,-0.092971,0.054102,0.001387,1
-1,0.072364,0.001067,-0.755102,0.069703,0.0009,-0.580247,0.065144,0.001579,-0.487603,0.062718,0.001808,-0.56213,0.063303,0.001677,-0.608889,0.063937,0.001558,-0.591696,0.064636,0.001665,-0.573407,0.06347,0.00161,-0.580499,0.063651,0.00168,1
-0.44,0.096238,0.001507,-0.142857,0.07919,0.0018,-0.061728,0.073182,0.001583,-0.07438,0.070143,0.001742,-0.076923,0.065117,0.001669,-0.102222,0.062146,0.001782,-0.128028,0.060427,0.001672,-0.141274,0.060452,0.001722,-0.111111,0.059705,0.001681,1
-1,0.056632,0.000853,-0.959184,0.103569,0.002901,-0.790123,0.110395,0.002864,-0.652893,0.099923,0.002878,-0.556213,0.099213,0.00358,-0.48,0.100497,0.004724,-0.394464,0.09657,0.004548,-0.32964,0.090964,0.004491,-0.29932,0.08573,0.004481,-1
-0.84,0.081361,0.000984,-0.632653,0.076019,0.00111,-0.407407,0.07079,0.001359,-0.38843,0.065559,0.001193,-0.384615,0.058983,0.001334,-0.377778,0.05982,0.001138,-0.363322,0.057697,0.001062,-0.34626,0.054428,0.001012,-0.346939,0.052042,0.000962,1
-0.2,0.075959,0.001456,-0.142857,0.071111,0.001964,-0.08642,0.066722,0.002093,-0.057851,0.064167,0.002246,0.053254,0.063062,0.002443,0.137778,0.058022,0.002447,0.141869,0.055208,0.002168,0.135734,0.053919,0.002038,0.115646,0.054269,0.002091,1
-0.88,0.037533,0.000391,-0.857143,0.044729,0.000483,-0.839506,0.054115,0.001257,-0.842975,0.064369,0.002193,-0.804734,0.068234,0.002008,-0.777778,0.066669,0.002047,-0.775087,0.064995,0.001926,-0.783934,0.064239,0.001822,-0.798186,0.06457,0.001909,-1
-0.24,0.125542,0.002022,-0.163265,0.096382,0.002938,-0.135802,0.087621,0.003502,-0.082645,0.08498,0.003367,-0.047337,0.078508,0.003339,-0.057778,0.073519,0.003568,-0.072664,0.072774,0.003566,-0.083102,0.074657,0.003649,-0.108844,0.075626,0.003776,-1
-0.12,0.035141,0.000281,-0.265306,0.039728,0.00043,-0.395062,0.04101,0.00039,-0.504132,0.040922,0.000499,-0.568047,0.04254,0.000674,-0.613333,0.045999,0.000828,-0.66436,0.052221,0.001132,-0.698061,0.059633,0.001505,-0.696145,0.063759,0.001747,-1
0.12,0.101365,0.004477,0.102041,0.077238,0.003473,0.135802,0.073054,0.00324,0.239669,0.074785,0.003235,0.289941,0.073846,0.003616,0.288889,0.075213,0.004146,0.294118,0.07414,0.004468,0.3241,0.073628,0.004278,0.35,0.071372,0.004078,1
-0.28,0.052705,0.000649,0.061224,0.049736,0.000663,0.135802,0.049528,0.000881,0.123967,0.05054,0.000941,0.088757,0.050015,0.000998,0.057778,0.049209,0.001018,0.00346,0.048763,0.001107,-0.058172,0.048128,0.00105,-0.111111,0.047618,0.000982,1
-0.52,0.135982,0.005277,-0.612245,0.127561,0.004637,-0.62963,0.11278,0.004394,-0.661157,0.107664,0.004167,-0.686391,0.107002,0.004172,-0.697778,0.104611,0.004769,-0.650519,0.099753,0.004611,-0.603878,0.09322,0.004512,-0.587302,0.089,0.004587,-1
-1,0.082946,0.000649,-0.591837,0.085906,0.000773,-0.308642,0.07286,0.000807,-0.140496,0.067378,0.00127,-0.147929,0.064638,0.001274,-0.208889,0.058097,0.001127,-0.231834,0.053472,0.001018,-0.229917,0.053101,0.000998,-0.229025,0.051996,0.000958,1
0,0,0,0,0,0,0,0.008455,0.001073,-0.057851,0.039072,0.007843,-0.08284,0.073505,0.018972,-0.031111,0.077682,0.016621,-0.013841,0.076556,0.013426,-0.01385,0.07578,0.012588,-0.004535,0.076237,0.012166,-1
-0.52,0.076988,0.000876,-0.591837,0.074394,0.001269,-0.617284,0.080589,0.001251,-0.636364,0.083282,0.001263,-0.662722,0.09791,0.002974,-0.631111,0.103768,0.003786,-0.567474,0.099244,0.003396,-0.545706,0.095001,0.003487,-0.528345,0.092573,0.003879,-1
0.36,0.071519,0.001985,0.265306,0.062306,0.00124,0.209877,0.056472,0.001487,0.272727,0.05791,0.001643,0.372781,0.057534,0.0018,0.44,0.053485,0.001895,0.453287,0.056894,0.002486,0.457064,0.060915,0.003802,0.47619,0.062276,0.003867,1
-0.4,0.090996,0.002129,-0.530612,0.131888,0.003595,-0.530864,0.15523,0.006702,-0.347107,0.147542,0.005666,-0.266272,0.127889,0.005424,-0.226667,0.116281,0.005607,-0.186851,0.104861,0.005456,-0.168975,0.097,0.005609,-0.151927,0.093634,0.005797,-1
-0.76,0.077296,0.000779,-0.55102,0.076173,0.00096,-0.382716,0.075282,0.001285,-0.355372,0.065483,0.001203,-0.325444,0.05895,0.00123,-0.315556,0.059316,0.001215,-0.287197,0.056541,0.001076,-0.296399,0.052078,0.001006,-0.287982,0.050831,0.000949,1
-0.44,0.102051,0.001657,-0.387755,0.111579,0.002526,-0.358025,0.105768,0.00279,-0.371901,0.101505,0.002676,-0.301775,0.107931,0.003299,-0.2,0.104389,0.003701,-0.079585,0.100816,0.003869,-0.00831,0.096594,0.003891,0.052154,0.091656,0.003654,1
-0.6,0.093584,0.001445,-0.387755,0.080424,0.001752,-0.308642,0.08811,0.002278,-0.239669,0.08724,0.002315,-0.242604,0.075867,0.002246,-0.226667,0.074834,0.00221,-0.224913,0.071631,0.002186,-0.257618,0.068614,0.002349,-0.283447,0.068946,0.002394,1
-0.84,0.108972,0.002745,-0.591837,0.100364,0.002371,-0.45679,0.094872,0.00232,-0.404959,0.083193,0.00225,-0.467456,0.072312,0.002104,-0.511111,0.069449,0.002166,-0.487889,0.069261,0.002239,-0.473684,0.065375,0.001805,-0.478458,0.063527,0.001723,1
-0.8,0.112584,0.001071,-0.653061,0.099331,0.000957,-0.530864,0.091518,0.001385,-0.479339,0.086552,0.001614,-0.455621,0.082003,0.001604,-0.453333,0.076193,0.001633,-0.474048,0.072154,0.001554,-0.495845,0.068443,0.001533,-0.505669,0.066088,0.001548,-1
